Logs,GUID,Predecessors,CPU CPI,Error,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,IP Address,Bit-0 Sample,Phase 3,End Time,Boot ID,Base Sample,Bit-1 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-16-00/log,02-03-16-00-30,"02-03-15-53-70,02-03-15-56-54",7.831208,,1,30,1,36:A4:D3:53:04:AE,09f91c6c-0d4c-46c5-b0b2-f3c1e4a92068,2021-02-04 00:00:23,30,2,30,14,169.254.76.1,out/02-03-16-00/bit0_samples30,-1,2021-02-04 00:01:16,5f87044e-76e7-4117-a8be-eadcd1c9a5dc,-,-,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-16,"02-03-14-52-94,02-03-14-55-15,02-03-14-59-23,02-03-15-02-41,02-03-15-06-97,02-03-15-09-96,02-03-15-12-25,02-03-15-16-29,02-03-15-19-83,02-03-15-23-86,02-03-15-26-100,02-03-15-29-65,02-03-15-33-69,02-03-15-36-86,02-03-15-40-81,02-03-15-43-45,02-03-15-46-52,02-03-15-50-55,02-03-15-53-41,02-03-15-56-51",8.039917,,1,16,2,0E:AD:A0:7C:81:0A,f87b2828-a3e0-48af-a50b-15d827aec518,2021-02-04 00:00:23,30,2,92,16,169.254.76.1,-,-1,2021-02-04 00:01:15,da0edd01-1a5c-4444-a911-8f41c429d6e8,-,out/02-03-16-00/bit1_samples16,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-85,02-03-15-56-75,8.003556,,1,85,3,2E:A1:E0:D5:82:35,7680627c-08c4-4797-8c4e-8a68c6424bf8,2021-02-04 00:00:23,30,3,87,85,169.254.76.1,-,4,2021-02-04 00:01:15,600727c7-cf3c-463d-9b3d-cedd042531af,-,out/02-03-16-00/bit1_samples85,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-91,"02-03-15-09-52,02-03-15-12-83,02-03-15-16-70,02-03-15-19-67,02-03-15-23-91,02-03-15-26-14,02-03-15-29-11,02-03-15-33-31,02-03-15-36-67,02-03-15-40-73,02-03-15-43-14,02-03-15-46-2,02-03-15-50-81,02-03-15-53-92,02-03-15-56-70",7.990236,,1,91,-,A2:C1:80:1C:41:35,84e208fa-b0d1-4d13-9a71-d0a4a4f25b7f,2021-02-04 00:00:23,20,1,91,-1,169.254.76.1,-,-1,2021-02-04 00:00:56,25f040b7-5de5-4887-a01a-cc384dbee960,-,-,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-52,"02-03-15-43-48,02-03-15-46-22,02-03-15-50-1,02-03-15-53-25,02-03-15-56-2",7.987907,,1,52,4,F6:D0:9C:37:10:D3,95f5070a-f9a4-471e-a960-ef3635790f8e,2021-02-04 00:00:23,30,2,52,29,169.254.76.1,-,-1,2021-02-04 00:01:15,0d197250-8595-4be9-967c-054bccb20e2b,-,-,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-5,02-03-15-56-83,7.726358,,1,5,5,32:CA:81:34:F4:0C,872fca30-e4cc-4054-9f3f-241d9cebafb9,2021-02-04 00:00:23,30,2,6,5,169.254.76.1,-,-1,2021-02-04 00:01:15,8efb2da9-faee-4bed-b450-2507d0d78048,-,out/02-03-16-00/bit1_samples5,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-49,"02-03-15-53-99,02-03-15-56-17",7.959016,,1,49,6,A2:02:0B:19:71:02,9199a012-4faf-42ed-8398-f9611e85f873,2021-02-04 00:00:23,30,3,93,49,169.254.76.1,-,44,2021-02-04 00:01:15,7e9a732e-bac9-4406-9954-d4429a81b459,-,out/02-03-16-00/bit1_samples49,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-20,"02-03-15-36-9,02-03-15-40-1,02-03-15-43-17,02-03-15-46-6,02-03-15-50-92,02-03-15-53-23,02-03-15-56-40",7.795973,,1,20,-,42:F9:74:3E:9D:B7,647ac71d-2433-407e-bf5c-7dcd27ec484f,2021-02-04 00:00:23,30,3,31,21,169.254.76.1,-,20,2021-02-04 00:01:06,85ef411a-ac09-4cae-933b-f2bf0b813db9,-,-,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-21,"02-03-15-19-23,02-03-15-23-28,02-03-15-26-1,02-03-15-29-33,02-03-15-33-30,02-03-15-36-29,02-03-15-40-23,02-03-15-43-82,02-03-15-46-80,02-03-15-50-79,02-03-15-53-21,02-03-15-56-8",7.849070,,1,21,7,BE:F0:CF:23:94:61,50cca916-1c94-472a-99a8-faccc3cded1c,2021-02-04 00:00:23,30,3,31,21,169.254.76.1,-,20,2021-02-04 00:01:15,ef730b4c-fb02-41d4-81fe-5d2615686f6b,-,out/02-03-16-00/bit1_samples21,Yes,DEFAULT,-,-
out/02-03-16-00/log,02-03-16-00-26,"02-03-14-59-98,02-03-15-02-91,02-03-15-06-72,02-03-15-09-85,02-03-15-12-27,02-03-15-16-24,02-03-15-19-61,02-03-15-23-94,02-03-15-26-81,02-03-15-29-7,02-03-15-33-92,02-03-15-36-32,02-03-15-40-15,02-03-15-43-97,02-03-15-46-70,02-03-15-50-68,02-03-15-53-52,02-03-15-56-95",7.847936,,1,26,-,D2:12:3D:C7:8A:A5,3ebd6eb0-9572-4001-837f-24afff3f5f1d,2021-02-04 00:00:23,20,1,26,-1,169.254.76.1,-,-1,2021-02-04 00:00:56,4442fff8-a6cf-4015-a60e-3753c2ff1525,-,-,Yes,DEFAULT,-,-
