Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,KSvalue,Mean Diff
17678,0,0,1,1000,45650,967203,996,5913,1455,0.281665805159803,-39737
17686,0,2,1,1000,45650,967203,1000,5962,2003,0.36727416530434,-39688
17689,0,2,6,1000,45650,967203,1000,5994,2034,0.34197305613893,-39656
17685,0,1,6,1000,45650,967203,972,6014,1963,0.410601507295878,-39636
17679,0,0,4,1000,45650,967203,1000,6083,2241,0.152969410340761,-39567
17684,0,1,5,1000,45650,967203,986,6086,2391,0.334804008401238,-39564
17688,0,2,5,1000,45650,967203,1000,6092,2791,0.52735427181355,-39558
17683,0,1,4,1000,45650,967203,961,6097,2691,0.526028776278873,-39553
17687,0,2,4,1000,45650,967203,980,6110,2812,0.583844277403478,-39540
17681,0,0,6,1000,45650,967203,909,6157,4502,0.25952369731758,-39493
17682,0,1,1,1000,45650,967203,973,6680,4327,0.416402818369493,-38970
17680,0,0,5,1000,45650,967203,1000,6710,18541,0.24246803114019,-38940
12489,0,1,5,995,37096,553927,943,5875,1458,0.822059848677786,-31221
12490,0,1,6,995,37096,553927,984,5876,1764,0.852040043558693,-31220
12494,0,2,1,995,37096,553927,1000,5918,2401,0.343563538790467,-31178
12491,0,1,7,995,37096,553927,990,5969,3014,0.647904880675832,-31127
12485,0,1,1,995,37096,553927,1000,6040,3130,0.706832143418035,-31056
12496,0,2,3,995,37096,553927,975,6072,3063,0.243002607245082,-31024
12478,0,0,3,995,37096,553927,973,6087,3082,0.270379399587031,-31009
12482,0,0,7,995,37096,553927,1000,6128,3106,0.644139920034081,-30968
12479,0,0,4,995,37096,553927,952,6145,3627,0.47799281640881,-30951
12487,0,1,3,995,37096,553927,955,6199,3365,0.448736998204312,-30897
12481,0,0,6,995,37096,553927,967,6231,4252,0.59616799710305,-30865
12498,0,2,5,995,37096,553927,1000,6254,3657,0.50640185565565,-30842
12499,0,2,6,995,37096,553927,957,6281,3487,0.426640075661949,-30815
12480,0,0,5,995,37096,553927,962,6298,5677,0.36350575654003,-30798
12476,0,0,1,995,37096,553927,961,6386,4134,0.520367252553689,-30710
